,learning_rate,discount_factor,epsilon,episodes,minimize_waste_score,count_expired_score
count,625.0,625.0,625.0,625.0,625.0,625.0
mean,0.01,0.99,0.19999999999999998,100.0,14.534990713816715,11.4912
std,1.4236125962988614e-16,6.777784848720433e-15,1.9722242797506177e-15,0.0,1.3521855472305087,0.9441126616822337
min,0.01,0.99,0.2,100.0,9.563139348502958,8.0
25%,0.01,0.99,0.2,100.0,13.269833149554668,11.0
50%,0.01,0.99,0.2,100.0,14.337668371984837,11.0
75%,0.01,0.99,0.2,100.0,15.58396756018923,12.0
max,0.01,0.99,0.2,100.0,17.640933173119194,14.0
