,learning_rate,discount_factor,epsilon,episodes,minimize_waste_score,count_expired_score
count,81.0,81.0,81.0,81.0,81.0,81.0
mean,0.037000000000000005,0.9466666666666665,0.19999999999999998,533.3333333333334,14.361628185897837,11.530864197530864
std,0.04497749437218574,0.03704726710568539,0.08215838362577493,370.4726710568542,1.4844406899757714,0.8815670671180715
min,0.001,0.9,0.1,100.0,9.700068528852263,10.0
25%,0.001,0.9,0.1,100.0,13.269833149554668,11.0
50%,0.01,0.95,0.2,500.0,13.269833149554668,11.0
75%,0.1,0.99,0.3,1000.0,15.61269104954896,12.0
max,0.1,0.99,0.3,1000.0,17.621032118925378,14.0
